ID	significant	snp_num	label	TF	ratio
ERX1831867	significant	1	within	CTCF	1
ERX1831867	significant	1	within	CTCF	1
ERX2868668	significant	1	within	CTCF	1
ERX2868668	significant	1	within	CTCF	1
ERX2868669	significant	1	within	CTCF	1
ERX2868669	significant	1	within	CTCF	1
ERX2868670	significant	1	within	CTCF	0.5
ERX2868670	non_significant	1	within	CTCF	0.5
ERX2868670	significant	1	within	CTCF	0.5
ERX2868670	non_significant	1	within	CTCF	0.5
ERX2868671	significant	1	within	CTCF	1
ERX2868671	significant	1	within	CTCF	1
ERX2868672	significant	1	within	CTCF	1
ERX2868672	significant	1	within	CTCF	1
ERX2868673	significant	1	within	CTCF	1
ERX2868673	significant	1	within	CTCF	1
ERX2868692	significant	1	within	CTCF	1
ERX2868692	significant	1	within	CTCF	1
ERX2868693	significant	1	within	CTCF	1
ERX2868693	significant	1	within	CTCF	1
ERX2868695	significant	1	within	CTCF	1
ERX2868695	significant	1	within	CTCF	1
ERX2868696	significant	1	within	CTCF	1
ERX2868696	significant	1	within	CTCF	1
ERX2868697	significant	1	within	CTCF	0.5
ERX2868697	non_significant	1	within	CTCF	0.5
ERX2868697	significant	1	within	CTCF	0.5
ERX2868697	non_significant	1	within	CTCF	0.5
ERX2868710	significant	2	within	CTCF	0.5
ERX2868710	non_significant	2	within	CTCF	0.5
ERX2868710	significant	2	within	CTCF	0.5
ERX2868710	non_significant	2	within	CTCF	0.5
ERX2868711	significant	1	within	CTCF	0.5
ERX2868711	non_significant	1	within	CTCF	0.5
ERX2868711	significant	1	within	CTCF	0.5
ERX2868711	non_significant	1	within	CTCF	0.5
ERX2868712	significant	1	within	CTCF	0.5
ERX2868712	non_significant	1	within	CTCF	0.5
ERX2868712	significant	1	within	CTCF	0.5
ERX2868712	non_significant	1	within	CTCF	0.5
ERX2868713	significant	2	within	CTCF	0.5
ERX2868713	non_significant	2	within	CTCF	0.5
ERX2868713	significant	2	within	CTCF	0.5
ERX2868713	non_significant	2	within	CTCF	0.5
ERX2868714	significant	2	within	CTCF	0.6666666666666666
ERX2868714	non_significant	1	within	CTCF	0.3333333333333333
ERX2868714	significant	2	within	CTCF	0.6666666666666666
ERX2868714	non_significant	1	within	CTCF	0.3333333333333333
ERX2868715	significant	1	within	CTCF	0.3333333333333333
ERX2868715	non_significant	2	within	CTCF	0.6666666666666666
ERX2868715	significant	1	within	CTCF	0.3333333333333333
